,ds,cluster_label,sunshine_amount,fellesferie,is_may,covid_restriction_christmas,fall_start,covid_loose_fall21,christmas_shopping,rain_sum,windspeed,air_temperature,day_of_week,month,heavy_rain_fall_weekend,heavy_rain_winter_weekday,heavy_rain_winter_weekend,non_heavy_rain_fall_weekend,week_number,custom_regressor
51,2021-02-21,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,2,0,0,0,0,7,0.0
52,2021-02-22,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,2,0,0,0,0,8,0.0
53,2021-02-23,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,2,0,0,0,0,8,0.0
54,2021-02-24,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,2,0,0,0,0,8,0.0
55,2021-02-25,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,2,0,0,0,0,8,0.0
56,2021-02-26,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,2,0,0,0,0,8,0.0
57,2021-02-27,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,2,0,0,0,0,8,0.0
58,2021-02-28,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,2,0,0,0,0,8,0.0
59,2021-03-01,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,3,0,0,0,0,9,0.0
60,2021-03-02,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,3,0,0,0,0,9,0.0
61,2021-03-03,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,3,0,0,0,0,9,0.0
62,2021-03-04,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,3,0,0,0,0,9,0.0
63,2021-03-05,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,3,0,0,0,0,9,0.0
64,2021-03-06,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,3,0,0,0,0,9,0.0
65,2021-03-07,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,3,0,0,0,0,9,0.0
66,2021-03-08,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,3,0,0,0,0,10,0.0
67,2021-03-09,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,3,0,0,0,0,10,0.0
68,2021-03-10,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,3,0,0,0,0,10,0.0
69,2021-03-11,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,3,0,0,0,0,10,0.0
70,2021-03-12,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,3,0,0,0,0,10,0.0
71,2021-03-13,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,3,0,0,0,0,10,0.0
72,2021-03-14,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,3,0,0,0,0,10,0.0
73,2021-03-15,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,3,0,0,0,0,11,0.0
74,2021-03-16,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,3,0,0,0,0,11,0.0
75,2021-03-17,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,3,0,0,0,0,11,0.0
76,2021-03-18,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,3,0,0,0,0,11,0.0
77,2021-03-19,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,3,0,0,0,0,11,0.0
78,2021-03-20,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,3,0,0,0,0,11,0.0
79,2021-03-21,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,3,0,0,0,0,11,0.0
80,2021-03-22,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,3,0,0,0,0,12,0.0
81,2021-03-23,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,3,0,0,0,0,12,0.0
82,2021-03-24,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,3,0,0,0,0,12,0.0
83,2021-03-25,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,3,0,0,0,0,12,0.0
84,2021-03-26,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,3,0,0,0,0,12,0.0
85,2021-03-27,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,3,0,0,0,0,12,0.0
86,2021-03-28,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,3,0,0,0,0,12,0.0
87,2021-03-29,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,3,0,0,0,0,13,0.0
88,2021-03-30,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,3,0,0,0,0,13,0.0
89,2021-03-31,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,3,0,0,0,0,13,0.0
90,2021-04-01,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,4,0,0,0,0,13,0.0
91,2021-04-02,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,4,0,0,0,0,13,0.0
92,2021-04-03,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,4,0,0,0,0,13,0.0
93,2021-04-04,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,4,0,0,0,0,13,0.0
94,2021-04-05,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,4,0,0,0,0,14,0.0
95,2021-04-06,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,4,0,0,0,0,14,0.0
96,2021-04-07,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,4,0,0,0,0,14,0.0
97,2021-04-08,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,4,0,0,0,0,14,0.0
98,2021-04-09,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,4,0,0,0,0,14,0.0
99,2021-04-10,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,4,0,0,0,0,14,0.0
100,2021-04-11,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,4,0,0,0,0,14,0.0
101,2021-04-12,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,4,0,0,0,0,15,0.0
102,2021-04-13,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,4,0,0,0,0,15,0.0
103,2021-04-14,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,4,0,0,0,0,15,0.0
104,2021-04-15,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,4,0,0,0,0,15,0.0
105,2021-04-16,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,4,0,0,0,0,15,0.0
106,2021-04-17,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,4,0,0,0,0,15,0.0
107,2021-04-18,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,4,0,0,0,0,15,0.0
108,2021-04-19,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,4,0,0,0,0,16,0.0
109,2021-04-20,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,4,0,0,0,0,16,0.0
110,2021-04-21,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,4,0,0,0,0,16,0.0
111,2021-04-22,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,4,0,0,0,0,16,0.0
112,2021-04-23,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,4,0,0,0,0,16,0.0
113,2021-04-24,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,4,0,0,0,0,16,0.0
