,ds,y,sunshine_amount,rain_sum,windspeed,air_temperature,day_of_week,month,heavy_rain_spring_weekend,heavy_rain_spring_weekday,heavy_rain_fall_weekend,heavy_rain_fall_weekday,heavy_rain_winter_weekday,before_payday,on_payday,after_payday,specific_month,covid_restriction_christmas,week_number,custom_regressor,fall_start,christmas_shopping,name,event_size,start_date,end_date,date,sentrum_scene_concert_Monday,sentrum_scene_concert_Tuesday,sentrum_scene_concert_Sunday,sentrum_scene_concert_Friday,sentrum_scene_concert_Thursday,sentrum_scene_concert_Saturday,sentrum_scene_concert_Wednesday,days_since_last_30,days_until_next_30,high_weekend,low_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
25,2021-01-26,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0.75,0,0.0,False,False,4,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,True,False,False,False,False,False
26,2021-01-27,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0.5,0,0.0,False,False,4,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,True,False,False,False,False
27,2021-01-28,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,0.25,0,0.0,False,False,4,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,False,True,False,False,False
28,2021-01-29,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0,0.0,1,0.0,False,False,4,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,False,False,True,False,False
29,2021-01-30,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,0.0,0,0.36787944117144233,False,False,4,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,False,False,False,True,False
30,2021-01-31,0.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,0.0,0,0.1353352832366127,False,False,4,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,False,False,False,False,True
31,2021-02-01,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,0.049787068367863944,False,False,5,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,True,False,False,False,False,False,False
32,2021-02-02,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,0,0.0,0,0.0,False,False,5,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,True,False,False,False,False,False
33,2021-02-03,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,0.0,0,0.0,False,False,5,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,True,False,False,False,False
34,2021-02-04,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,0,0,0.0,0,0.0,False,False,5,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,True,False,False,False
