ds,sunshine_amount,air_temperature,rain_sum,windspeed,ds,residuals,yhat,y,weekly,month_week_interaction,adjusted_forecast
2022-06-01,40.2,12.7,0.0,6.8,2022-06-01,37417.00306942595,7025.496930574055,44442.5,-0.008979758327132608,132,30570.532086824056
2022-06-02,40.2,11.3,0.7,6.0,2022-06-02,41198.45035567105,7151.949644328951,48350.4,-0.007039166000011582,132,28853.09222245395
2022-06-03,440.0,12.8,0.0,10.9,2022-06-03,-25772.606982828365,87434.30698282836,61661.7,0.009751666558292503,132,70951.25229532836
2022-06-04,593.3,14.2,0.0,8.3,2022-06-04,-19454.98373030605,119056.48373030605,99601.5,0.02408613542232679,132,138164.11654280603
2022-06-05,420.0,16.0,0.0,7.7,2022-06-05,-25497.35148820909,84328.45148820909,58831.1,0.0012200198237753493,132,52020.68195695909
2022-06-06,326.7,20.6,0.0,7.6,2022-06-06,25422.233235160136,65902.46676483986,91324.7,-0.01161755925008414,138,40133.23629608986
2022-06-07,60.2,18.7,2.3,6.2,2022-06-07,28066.121161135416,11055.478838864581,39121.6,-0.007421338227197175,138,25187.760088864583
2022-06-08,40.2,16.0,0.0,5.1,2022-06-08,32794.83700814783,7001.762991852168,39796.6,-0.008979758327151532,138,29054.223929352167
2022-06-09,40.2,13.3,0.0,4.6,2022-06-09,24266.94622597689,7044.253774023109,31311.2,-0.0070391660000021375,138,28152.90221152311
2022-06-10,160.1,17.2,0.4,8.6,2022-06-10,84768.314831702,31982.585168298003,116750.9,0.00975166655830598,138,62706.721887048
2022-06-11,73.7,16.8,0.30000000000000004,8.9,2022-06-11,159373.7544749171,12916.945525082896,172290.7,0.02408613542232421,138,70793.55490008289
2022-06-12,60.1,14.1,0.1,6.8,2022-06-12,42166.24039037715,10967.359609622848,53133.6,0.0012200198237506557,138,32337.98851587285
2022-06-13,40.2,13.1,0.6000000000000001,8.5,2022-06-13,31028.348242774493,6792.151757225507,37820.5,-0.011617559250088396,144,28031.440819725507
2022-06-14,86.80000000000001,14.9,0.0,6.6,2022-06-14,71457.33815785183,17009.361842148162,88466.7,-0.007421338227226563,144,32097.538599960662
